Lambda , R_SR , G_SR , B_SR 
380,0.0017,0.0063,0.0014
385,0.0013,0.0047,0.0015
390,0.0011,0.0037,0.0018
395,0.0023,0.0055,0.0032
400,0.0035,0.0072,0.0046
405,0.0026,0.0048,0.0044
410,0.0012,0.0013,0.0038
415,0.006,0.0025,0.045
420,0.0149,0.0079,0.138
425,0.0338,0.0247,0.3959
430,0.0528,0.0415,0.6539
435,0.0525,0.0516,0.7698
440,0.0473,0.06,0.8502
445,0.0435,0.0689,0.909
450,0.0396,0.0778,0.9677
455,0.0349,0.0948,0.9588
460,0.0313,0.1215,0.9561
465,0.0326,0.1871,0.978
470,0.0339,0.2528,1
475,0.0348,0.3071,0.9585
480,0.0357,0.3585,0.9012
485,0.0359,0.398,0.8166
490,0.0357,0.4296,0.7137
495,0.0351,0.4979,0.606
500,0.0343,0.5754,0.4971
505,0.0362,0.6569,0.414
510,0.0381,0.7384,0.3309
515,0.0503,0.8543,0.2353
520,0.061,0.9476,0.1499
525,0.0655,0.9505,0.1051
530,0.0701,0.9534,0.0604
535,0.0571,0.9695,0.0465
540,0.0441,0.9856,0.0326
545,0.033,0.9333,0.0237
550,0.0243,0.8793,0.0156
555,0.0246,0.8181,0.0108
560,0.0305,0.7501,0.0066
565,0.0587,0.6552,0.0052
570,0.1079,0.5663,0.0039
575,0.2411,0.5013,0.0035
580,0.3761,0.4354,0.0031
585,0.5189,0.3651,0.0028
590,0.5819,0.2925,0.0024
595,0.5917,0.2181,0.0018
600,0.6016,0.1438,0.0013
605,0.5815,0.0935,0.0009
610,0.5416,0.0593,0.0007
615,0.498,0.044,0.0006
620,0.4545,0.0286,0.0006
625,0.4101,0.0222,0.0005
630,0.3681,0.0171,0.0005
635,0.3298,0.0139,0.0004
640,0.2915,0.0107,0.0004
645,0.2559,0.0086,0.0004
650,0.2202,0.0064,0.0004
655,0.1907,0.0055,0.0005
660,0.1627,0.0049,0.0005
665,0.1299,0.0044,0.0005
670,0.0971,0.004,0.0005
675,0.0731,0.0033,0.0004
680,0.0491,0.0025,0.0003
685,0.0263,0.0016,0.0003
690,0.0113,0.0009,0.0004
695,0.007,0.0008,0.0003
700,0.0034,0.0006,0.0003
705,0.0025,0.0005,0.0003
710,0.0016,0.0005,0.0003
715,0.001,0.0004,0.0003
720,0.0006,0.0003,0.0003
725,0.0005,0.0003,0.0004
730,0.0005,0.0003,0.0005
735,0.0005,0.0003,0.0005
740,0.0005,0.0003,0.0004
745,0.0005,0.0004,0.0005
750,0.0005,0.0004,0.0005
755,0.0005,0.0004,0.0004
760,0.0005,0.0004,0.0004
765,0.0005,0.0004,0.0003
770,0.0005,0.0004,0.0002
775,0.0005,0.0004,0.0002
780,0.0005,0.0004,0.0001
785,0.0005,0.0004,0
790,0.0005,0.0004,0
795,0.0005,0.0004,-0.0001
800,0.0005,0.0004,-0.0002
805,0.0005,0.0003,-0.0002
810,0.0006,0.0003,-0.0003
815,0.0006,0.0003,-0.0004
820,0.0006,0.0003,-0.0004
825,0.0006,0.0003,-0.0005
830,0.0006,0.0003,-0.0006
835,0.0006,0.0003,-0.0006
840,0.0006,0.0003,-0.0007
845,0.0006,0.0003,-0.0008
850,0.0006,0.0003,-0.0008
855,0.0006,0.0003,-0.0009
860,0.0006,0.0003,-0.001
865,0.0006,0.0003,-0.001
870,0.0006,0.0003,-0.0011
875,0.0006,0.0003,-0.0012
880,0.0006,0.0003,-0.0012
885,0.0006,0.0003,-0.0013
890,0.0006,0.0003,-0.0014
895,0.0006,0.0003,-0.0014
900,0.0006,0.0003,-0.0015
905,0.0006,0.0003,-0.0016
